"timestamp","rule_id","threshold","multiplier","decision","reason","violations","violation_percentage"
"2026-04-05T15:49:40.659727+00:00","R-40-2.5","40","2.500000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T15:49:40.665540+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T15:49:40.670900+00:00","R-75-1.3","75","1.300000","REJECT","Rule rejected: 2 policies (0.04% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2","0.040000"
"2026-04-05T15:49:40.676266+00:00","R-25-1.22","25","1.220000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+7.34 is within the $300.00 threshold, and 16.06% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-05T15:52:29.207612+00:00","R-40-2.5","40","2.500000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T15:52:29.213276+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T15:52:29.218496+00:00","R-75-1.3","75","1.300000","REJECT","Rule rejected: 2 policies (0.04% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2","0.040000"
"2026-04-05T15:52:29.224599+00:00","R-25-1.22","25","1.220000","APPROVE","Rule approved: zero compliance violations detected, average premium change of $+7.34 is within the $300.00 threshold, and 16.06% portfolio exposure is within the 50% limit. All governance gates passed.","0","0.000000"
"2026-04-05T16:29:49.222590+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:31:23.890363+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:32:48.829378+00:00","R-25-1.92","25","1.920000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:38:00.492259+00:00","R-40-1.92","40","1.920000","REJECT","Rule rejected: 2,283 policies (45.66% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2283","45.660000"
"2026-04-05T16:43:54.182228+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-05T16:44:27.877320+00:00","R-70-1.85","70","1.850000","REJECT","Rule rejected: 4,695 policies (93.90% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","4695","93.900000"
"2026-04-06T07:15:40.982645+00:00","R-25-1.85","25","1.850000","REJECT","Rule rejected: 803 policies (16.06% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","803","16.060000"
"2026-04-06T07:16:30.672807+00:00","R-42-1.85","42","1.850000","REJECT","Rule rejected: 2,577 policies (51.54% of portfolio) breach one or more regulatory compliance thresholds. No deployment is permitted while compliance violations exist.","2577","51.540000"
